ID,English,Others,Japanese
momokovictory31,[PLAYER]该死！谢谢你为我一直保持屁股这么紧，韦恩太太。我永远操不够。,[PLAYER]Haha... my cock don't wanna cum just yet. It's enjoying your ass a lot.,
momokovictory32,@6-太一君！你怎么在外人面前叫我名字？他知道我真名了。,@6-Really! Then those 500 coins worth it. It's the first time you have complimented me.,
momokovictory33,[PLAYER]放心！他忙着录你被操的视频呢。估计什么都没听到。[END],[PLAYER]Now I understand why you were topping must have sex list in that shop.[END],
momokovictory41,@6-呃，那是……太一君快！去巷子里！是奥利维亚！她在看我们。,@6-Oh no! It's my daughter. I can't let her see me like this. Let's hide in that alley.,
momokovictory42,@6-她已经觉得我是个随便让男人操的荡妇了，现在……,[PLAYER]I don't wanna right now. Your ass rarely feels this good. I don't feel like stopping now.,
momokovictory43,@6-她看到我和她学长做爱了。我真是个坏妈妈。,@6-You don't wanna pull out? You would be happy if I told you to do that any other day.,
momokovictory44,[PLAYER]不，你不是！要不是我这么喜欢操你，你对我就是个好妈妈。,[PLAYER]Shut up! You know she asks me for fuck you. She thinks you are a sex maniac.,
momokovictory45,[PLAYER]而且……她也不那么看你的。,[PLAYER]She even let me fuck her if I tell her I plowed you the day before.,
momokovictory46,@6-呃……你怎么这么想？我以为她讨厌你呢。,@6-What! You are already fucking her. Well I know she will let me have sex with her husband.,
momokovictory47,[PLAYER]她现在不讨厌我了，放心吧。她不觉得你是个变态。[END],[PLAYER]I'm not marrying her. I only do it with her for fun.[END],
momokovictory51,[PLAYER]谢谢你穿了一天这身衣服……不过你为什么没买那个蛋糕？,[PLAYER]If only you were in your bigger form. I would have enjoyed it 10 times more.,
momokovictory52,[PLAYER]要是你能变大就好了。我会爽十倍。,@6-What! I thought you mistake me as someone else when I'm like that.,
momokovictory53,@6-今天是周四太一君！莉莉的店这天不开。而且这些衣服我变大了就穿不下了……,[PLAYER]Do you think I'm a fool. Only your body changes but your face remains the same.,
momokovictory54,@6-我会变大的。而且我们不是说好了明天去看我姐姐吗？[END],[PLAYER]I love to fuck chicks with huge ass you know. That's why I love Reiko and Aoi.[END],
hitomivictory11,[PLAYER]这是节目里我最喜欢的环节。把鸡巴狠狠操进你紧致的屁股里。,"[PLAYER]Wow, you were not kidding when you said I would love it. This stuff is amazing!",
hitomivictory12,@6-我很高兴你享受……但你快点完事我们就能回去打游戏了。,@6-I'm glad you are enjoying it. I spent 500 coins on that lotion you know.,
hitomivictory13,[PLAYER]对我来说没区别。直播的时候一样在做。[END],[PLAYER]Well if you asked me you could have got it for 100. I fuck her so she gives me a heavy discount.[END],
hitomivictory21,[PLAYER]你的屁股我已经操过一千多次了，但永远不腻。,"[PLAYER]Fuck it! I can't act like I don't love fucking you. For this once, let's just drop the act.",
hitomivictory22,@6-什么！光肛交就一千次了？我得少跟你做了。,@6-Hmm... I was tired of acting like a slut for other language setting.,
hitomivictory23,[PLAYER]啊……别这样韦恩太太。你知道我多喜欢操你。,[PLAYER]Well you can still act like one for me though. I really enjoy it.,
hitomivictory24,[PLAYER]不把蛋蛋清空在你里面，我就觉得一天没完。[END],"@6-Masuo, you know I don't see you that way. I only do it because Ryoko pays me well for it.[END]",
hitomivictory31,[PLAYER]你手里这个游戏是什么类型的？,[PLAYER]You know I can make Aya my real daughter if I make a choice in Magic Ring where you...,
hitomivictory32,@6-说实话我自己也不知道。听几个客人说这名字就买了。,[PLAYER]Beat the crap out of your husband to defend me. Lord Arch no longer has any influence on you...,
hitomivictory33,@6-听他们说现在很火。直播的话能赚很多钱。[END],[PLAYER]And you could truly become my wife.[END],
hitomivictory41,[PLAYER]你戴上这些环真贴心。玩你胸的时候爽多了。,[PLAYER]Hitomi why do playing with your breasts feels this good?,
hitomivictory42,@6-啊……太一君别那么拉。没穿孔只是夹住乳头。,@6-Well I'm cursed by Lady Merusa to become most sexually desirable woman in the world.,
hitomivictory43,[PLAYER]别担心！我会小心玩的。[END],@6-She did it to punish her brother Arch for betraying her.[END],
hitomivictory51,[PLAYER]看来我还要一会儿才射。要不像往常一样回家做？,[PLAYER]I've already came in twice inside you and still can't stop hehe...,
hitomivictory52,@6-什么！我工作一天很累了。改天吧，好吗？,@6-Please that's enough. Can't we do something that a mother and son could do together.,
hitomivictory53,[PLAYER]来嘛！我现在就想骑你。求你了……韦恩太太。就这一次？,"[PLAYER]Right now, you are my bitch. I can fuck you as much as I want.",
hitomivictory54,@6-（叹气……）我永远无法拒绝你。好吧……让我缓一下。[END],@6-No point talking to you when you are thinking with your cock.[END],
